name,bat_style,field_style,awards,importance,1st position batting,2nd position batting,3rd position batting,4th position batting,5th position batting,6th position batting,7th position batting,runs,batting_average,batting_innings,strike_rate,fours,sixes,bowl_style,bowling_innings,wickets,bowling_average,economy_rate,5th position bowling,6th position bowling,7th position bowling,8th position bowling,8th position batting,1st position bowling,2nd position bowling,3rd position bowling,4th position bowling,9th position batting,10th position batting,11th position batting,10th position bowling,11th position bowling,9th position bowling
Suyash Sharma,right-hand bat,0.0,0.0,0.8620689655172411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,legbreak googly,0.0,0.0,7.35,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Karn Sharma,left-hand bat,0.0,1.0,0.9243243243243241,0.0,8.0,1.5,23.75,27.23,14.35,19.14,1543.0,18.15,115.0,125.54,112.0,69.0,legbreak googly,167.0,154.0,26.41,7.69,57.0,23.0,6.0,2.0,17.21,0.0,0.0,13.0,53.0,10.75,1.0,0.0,0.0,0.0,0.0
Kumar Kartikeya Singh,right-hand bat,0.0,9.0,1.1733333333333331,0.0,0.0,24.33,34.74,42.5,28.66,12.0,1831.0,32.69,73.0,143.15,140.0,77.0,"right-arm medium, right-arm offbreak",55.0,51.0,19.23,6.38,3.0,16.0,8.0,0.0,26.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Manav Suthar,left-hand bat,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,7.0,138.46,2.0,2.0,slow left-arm orthodox,15.0,10.0,30.1,7.05,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.66,9.33,0.0,0.0,0.0,0.0
Mayank Agarawal,right-hand bat,0.0,6.0,0.9622641509433961,24.7,29.17,26.88,7.6,11.42,14.55,11.0,4917.0,25.6,205.0,134.08,497.0,174.0,right-arm offbreak,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faf Du Plessis,right-hand bat,0.0,25.0,1.109625668449197,29.21,37.64,31.96,26.31,23.75,0.0,1.0,11203.0,32.75,381.0,136.27,1016.0,415.0,legbreak,52.0,0.0,6.96,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn Phillips,right-hand bat,1.0,16.0,0.854014598540145,33.85,31.55,25.7,37.03,25.42,16.16,0.0,6624.0,31.39,243.0,140.3,497.0,350.0,right-arm offbreak,51.0,0.0,8.42,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rovman Powell,right-hand bat,0.0,7.0,1.007633587786259,0.0,0.0,58.33,29.44,22.95,22.21,12.27,4749.0,24.6,239.0,137.81,283.0,315.0,right-arm medium-fast,55.0,0.0,10.85,24.8,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajinkya Rahane,right-hand bat,0.0,16.0,1.219917012448132,29.97,34.27,22.5,28.0,37.0,19.0,8.0,6852.0,29.66,255.0,123.88,693.0,160.0,right-arm medium,1.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prithvi Shaw,right-hand bat,0.0,4.0,1.31,25.62,15.57,0.0,0.0,0.0,0.0,0.0,2902.0,25.01,117.0,151.54,338.0,124.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kane Williamson,right-hand bat,0.0,15.0,0.9883720930232551,21.3,31.05,34.12,38.74,17.71,22.0,18.0,6653.0,31.98,249.0,122.5,606.0,165.0,right-arm offbreak,54.0,30.0,30.3,7.08,3.0,6.0,2.0,0.0,5.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Curran,left-hand bat,0.0,15.0,1.198312236286919,15.8,13.0,27.09,29.7,31.36,13.13,20.3,3923.0,23.21,211.0,134.21,279.0,186.0,left-arm medium-fast,254.0,0.0,8.79,19.2,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Jansen,right-hand bat,0.0,8.0,1.428571428571428,0.0,0.0,0.0,0.0,4.5,17.37,26.23,874.0,21.85,62.0,142.81,60.0,53.0,left-arm fast,94.0,105.0,26.56,8.18,0.0,0.0,0.0,0.0,11.76,45.0,35.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Daryl Mitchell,right-hand bat,0.0,4.0,0.981308411214953,0.0,27.11,31.45,33.77,34.16,25.0,26.8,4809.0,31.43,198.0,136.11,314.0,191.0,right-arm medium,91.0,0.0,9.34,15.7,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krunal Pandya,left-hand bat,0.0,10.0,1.2417582417582411,0.0,0.0,22.08,28.15,22.26,21.23,23.39,2845.0,24.11,171.0,130.98,242.0,98.0,slow left-arm orthodox,195.0,145.0,30.91,7.23,44.0,11.0,3.0,0.0,28.0,9.0,20.0,20.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
Nitish Rana,left-hand bat,0.0,5.0,1.122222222222222,33.5,39.33,26.14,27.32,32.0,23.2,0.0,4631.0,28.41,182.0,134.89,405.0,238.0,"right-arm medium, right-arm offbreak, legbreak",74.0,51.0,20.86,7.03,13.0,16.0,13.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Sundar,left-hand bat,0.0,3.0,1.453781512605042,22.16,23.75,67.0,17.66,19.5,14.0,11.78,1295.0,19.04,94.0,118.37,104.0,40.0,right-arm offbreak,145.0,113.0,28.43,6.98,13.0,8.0,1.0,0.0,22.14,9.0,31.0,33.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0
Shardul Thakur,right-hand bat,0.0,5.0,1.296551724137931,0.0,0.0,0.0,0.0,13.0,0.0,18.87,441.0,11.3,60.0,128.94,34.0,18.0,right-arm medium,164.0,189.0,26.79,8.92,13.0,3.0,0.0,0.0,9.44,26.0,65.0,56.0,26.0,9.66,20.0,0.0,0.0,0.0,0.0
K.S Bharat,right-hand bat,0.0,2.0,1.387096774193548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.75,6.0,43.75,0.0,0.0,slow left-arm orthodox,37.0,46.0,14.6,5.34,19.0,5.0,0.0,0.0,0.0,0.0,3.0,7.0,12.0,0.0,2.0,1.66,0.0,0.0,0.0
Alex Carey,left-hand bat,1.0,5.0,1.046728971962616,33.96,13.5,29.58,30.66,16.6,9.7,27.5,2440.0,28.04,97.0,128.89,234.0,68.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Ferreira,right-hand bat,1.0,2.0,1.108695652173913,0.0,0.0,32.0,9.66,33.5,28.91,30.66,1727.0,26.98,81.0,156.85,117.0,104.0,right-arm offbreak,28.0,0.0,7.27,20.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shai Hope,right-hand bat,1.0,5.0,0.9551282051282051,18.18,31.75,33.55,22.0,20.33,57.0,10.0,3888.0,29.01,150.0,129.85,291.0,179.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Inglis,right-hand bat,1.0,8.0,1.2459016393442621,33.08,26.68,36.38,32.9,17.33,0.0,7.0,3370.0,30.36,131.0,148.06,327.0,123.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Rickelton,left-hand bat,1.0,7.0,0.894736842105263,27.43,37.78,23.77,0.0,10.0,3.0,0.0,2948.0,29.77,106.0,140.31,251.0,138.0,0,1.0,1.0,14.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deepak Chahar,right-hand bat,0.0,4.0,1.495867768595041,0.0,9.0,5.0,0.0,0.0,18.0,19.22,425.0,13.7,55.0,134.92,24.0,27.0,right-arm medium,152.0,173.0,24.26,7.76,0.0,0.0,0.0,0.0,9.15,123.0,40.0,10.0,0.0,21.33,0.0,0.0,0.0,0.0,0.0
Gerald Coetzee,right-hand bat,0.0,1.0,1.084745762711864,0.0,12.0,0.0,0.0,0.0,0.0,9.42,303.0,8.91,43.0,120.23,16.0,21.0,right-arm fast,62.0,88.0,21.44,8.65,7.0,0.0,2.0,0.0,8.0,14.0,16.0,35.0,14.0,10.4,1.0,0.0,0.0,0.0,0.0
Akash Deep,right-hand bat,0.0,0.0,1.441176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,11.14,14.0,144.44,6.0,4.0,right-arm fast-medium,42.0,49.0,23.46,7.71,1.0,1.0,0.0,0.0,9.0,10.0,15.0,19.0,3.0,8.0,0.0,17.0,0.0,0.0,0.0
Tushar Deshpande,left-hand bat,0.0,0.0,1.202702702702702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.33,15.0,115.78,4.0,1.0,right-arm medium,82.0,118.0,21.39,8.54,0.0,0.0,0.0,0.0,0.0,12.0,68.0,24.0,14.0,0.0,15.5,2.0,0.0,0.0,0.0
Lockie Ferguson,right-hand bat,0.0,8.0,1.132075471698113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,10.57,54.0,114.58,15.0,15.0,right-arm fast,173.0,0.0,7.67,17.3,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,15.55,6.75,4.25,0.0,0.0,0.0
Bhuvneshwar Kumar,right-hand bat,0.0,12.0,0.8838709677419351,0.0,0.0,0.0,0.0,12.0,29.0,0.0,508.0,10.8,102.0,96.03,39.0,9.0,right-arm medium,294.0,310.0,24.92,7.26,0.0,1.0,0.0,0.0,5.16,242.0,51.0,7.0,9.0,11.85,11.25,1.0,0.0,0.0,0.0
Mukesh Kumar,right-hand bat,0.0,0.0,1.169491525423728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.66,16.0,62.5,1.0,0.0,right-arm medium,65.0,71.0,27.43,8.86,3.0,2.0,4.0,0.0,0.0,20.0,16.0,18.0,8.0,0.0,6.5,7.0,0.0,0.0,0.0
Allah Ghazanfar,right-hand bat,0.0,1.0,0.9333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.42,12.0,62.0,2.0,0.0,legbreak,28.0,29.0,20.65,6.85,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.5,6.0,0.0,0.0,0.0
Akeal Hosein,left-hand bat,0.0,8.0,1.17032967032967,0.0,0.0,12.5,12.0,23.5,17.0,13.38,913.0,15.47,102.0,108.69,49.0,42.0,slow left-arm orthodox,191.0,0.0,6.99,21.6,0.0,0.0,0.0,0.0,14.93,0.0,0.0,0.0,0.0,15.44,34.0,0.0,0.0,0.0,0.0
Keshav Maharaj,right-hand bat,0.0,4.0,1.253086419753086,0.0,0.0,0.0,16.66,8.0,63.0,11.28,768.0,15.05,95.0,106.81,64.0,26.0,slow left-arm orthodox,181.0,162.0,27.8,6.96,44.0,17.0,0.0,0.0,17.18,39.0,7.0,13.0,42.0,14.63,7.25,0.0,0.0,0.0,0.0
Mujeeb Ur Rahman,right-hand bat,0.0,12.0,0.9645669291338581,0.0,0.0,0.0,0.0,0.0,0.0,0.5,339.0,8.07,79.0,106.6,25.0,15.0,right-arm offbreak,253.0,0.0,6.74,20.7,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,7.61,8.8,7.2,0.0,0.0,0.0
Adil Rashid,right-hand bat,0.0,14.0,1.083333333333333,7.0,0.0,1.5,10.0,9.5,20.11,13.5,954.0,11.35,136.0,106.0,77.0,16.0,legbreak,309.0,0.0,7.41,18.3,0.0,0.0,0.0,0.0,15.54,0.0,0.0,0.0,0.0,6.08,12.2,7.0,0.0,0.0,0.0
Vijayakanth Viyaskanth,right-hand bat,0.0,2.0,1.066666666666666,0.0,0.0,14.0,0.0,0.0,0.0,6.0,117.0,14.62,19.0,84.17,8.0,0.0,legbreak,46.0,48.0,23.45,7.47,25.0,11.0,0.0,0.0,14.0,0.0,0.0,1.0,11.0,25.0,4.5,0.0,0.0,0.0,0.0
Ricky Bhui,right-hand bat,0.0,2.0,0.8933333333333331,0.0,0.0,48.23,34.38,25.5,33.0,0.0,1789.0,33.75,68.0,143.81,124.0,107.0,legbreak googly,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swastik Chhikara,right-hand bat,0.0,0.0,3.0,2.0,16.0,8.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aarya Desai,left-hand bat,0.0,1.0,1.727272727272727,248.0,0.0,27.0,0.0,19.0,35.0,0.0,78.0,329.0,2.0,0.0,20.0,0.0,right-arm offbreak,0.0,0.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shubham Dubey,left-hand bat,0.0,0.0,2.333333333333333,0.0,0.0,5.0,21.87,143.0,35.4,0.0,652.0,38.35,26.0,152.69,38.0,40.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhav Kaushik,right-hand bat,0.0,0.0,0.866666666666666,20.5,15.42,30.0,0.0,0.0,0.0,0.0,250.0,19.23,14.0,97.65,30.0,8.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pukhraj Mann,left-hand bat,0.0,0.0,1.0,0.0,0.0,18.0,0.0,10.0,0.0,2.0,0.0,30.0,2.0,0.0,3.0,0.0,slow left-arm orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaik Rasheed,right-hand bat,0.0,0.0,1.125,0.0,0.0,11.2,48.0,0.0,28.0,0.0,352.0,29.33,15.0,127.07,34.0,11.0,legbreak,3.0,1.0,50.0,8.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Himmat Singh,right-hand bat,0.0,1.0,1.3913043478260871,19.75,17.0,33.6,39.42,29.14,21.83,39.0,917.0,28.65,47.0,132.51,76.0,40.0,right-arm offbreak,2.0,1.0,10.0,6.66,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mayank Dagar,right-hand bat,0.0,2.0,0.8194444444444441,0.0,0.0,8.5,65.0,0.0,0.0,11.0,218.0,10.9,24.0,106.34,21.0,5.0,slow left-arm orthodox,66.0,65.0,24.1,6.79,22.0,9.0,0.0,0.0,16.0,1.0,1.0,12.0,20.0,8.0,1.25,0.0,0.0,0.0,0.0
Anshul Kamboj,right-hand bat,0.0,1.0,0.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,17.33,11.0,110.63,5.0,1.0,right-arm medium,22.0,26.0,19.88,7.97,0.0,0.0,0.0,0.0,7.0,5.0,18.0,2.0,1.0,28.0,16.0,0.0,0.0,0.0,0.0
Mohd. Arshad Khan,left-hand bat,0.0,2.0,1.088888888888888,0.0,0.0,3.0,23.62,18.12,20.35,0.0,683.0,20.08,41.0,105.23,45.0,18.0,slow left-arm orthodox,34.0,11.0,48.0,7.88,3.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Darshan Nalkande,right-hand bat,0.0,0.0,1.48780487804878,0.0,0.0,0.0,0.0,0.0,12.0,3.0,144.0,7.57,24.0,99.31,6.0,8.0,right-arm fast-medium,51.0,80.0,17.41,8.31,2.0,3.0,0.0,0.0,8.53,21.0,28.0,24.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
Suyash Prabhudessai,right-hand bat,0.0,1.0,0.927272727272727,32.0,0.0,0.0,34.81,43.6,17.33,27.6,1167.0,31.54,48.0,137.45,110.0,41.0,right-arm medium,14.0,2.0,95.0,7.4,1.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anukul Roy,left-hand bat,0.0,0.0,1.017857142857142,0.0,0.0,4.0,40.0,45.75,21.28,13.75,657.0,21.19,44.0,150.34,51.0,32.0,slow left-arm orthodox,56.0,37.0,33.27,7.13,10.0,11.0,1.0,0.0,3.0,4.0,1.0,6.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0
Swapnil Singh,right-hand bat,0.0,0.0,1.034883720930232,0.0,0.0,37.0,42.2,14.0,16.62,28.14,988.0,22.45,70.0,128.81,64.0,48.0,slow left-arm orthodox,83.0,73.0,25.63,7.31,17.0,12.0,4.0,0.0,22.85,9.0,4.0,17.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0
Sanvir Singh,right-hand bat,0.0,0.0,1.25,0.0,0.0,0.0,32.5,0.0,42.0,13.0,384.0,38.4,24.0,181.13,28.0,22.0,right-arm medium,14.0,6.0,37.0,9.25,0.0,2.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avanish Aravelly,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vansh Bedi,right-hand bat,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saurav Chauhan,left-hand bat,0.0,0.0,1.636363636363636,5.0,22.0,33.6,28.87,12.0,27.0,0.0,564.0,24.52,27.0,146.87,43.0,31.0,right-arm offbreak,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvik Desai,right-hand bat,0.0,2.0,1.4137931034482751,26.08,60.33,0.0,0.0,0.0,0.0,0.0,1014.0,32.7,35.0,139.47,129.0,35.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Kohler-Cadmore,right-hand bat,1.0,14.0,1.166666666666666,31.3,29.76,27.62,27.03,23.88,13.0,0.0,5562.0,28.23,220.0,138.39,475.0,269.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kunal Rathore,right-hand bat,0.0,0.0,0.515151515151515,0.0,9.0,24.0,32.0,9.0,25.0,24.0,540.0,24.54,25.0,126.16,46.0,20.0,right-arm medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.R Sharath,right-hand bat,1.0,0.0,1.28,5.0,15.33,7.0,9.0,14.0,26.0,33.0,330.0,15.0,24.0,117.43,30.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gurnoor Singh Brar,right-hand bat,0.0,9.0,1.1733333333333331,0.0,0.0,24.33,34.74,42.5,28.66,12.0,1831.0,32.69,73.0,143.15,140.0,77.0,"right-arm medium, right-arm offbreak",55.0,51.0,19.23,6.38,3.0,16.0,8.0,0.0,26.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Mukesh Choudhary,left-hand bat,0.0,1.0,0.8888888888888881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,10.66,8.0,96.96,5.0,0.0,left-arm medium,34.0,47.0,22.61,9.03,0.0,0.0,0.0,0.0,0.0,37.0,10.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0
Sakib Hussain,right-hand bat,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,3.0,84.21,0.0,2.0,right-arm medium,7.0,5.0,39.0,10.83,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Vidwath Kaverappa,right-hand bat,0.0,0.0,2.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,right-arm fast-medium,14.0,25.0,12.48,6.13,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajan Kumar,left-hand bat,0.0,0.0,0.7619047619047611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,87.5,1.0,0.0,left-arm medium-fast,19.0,19.0,24.47,7.62,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Sushant Mishra,left-hand bat,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,left-arm medium-fast,0.0,0.0,9.37,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arjun Tendulkar,left-hand bat,0.0,0.0,0.92,0.0,0.0,7.5,0.0,0.0,47.0,15.0,119.0,13.22,11.0,123.95,7.0,7.0,left-arm medium-fast,24.0,27.0,25.07,8.75,2.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0
Zeeshan Ansari,right-hand bat,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,legbreak googly,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prince Choudhary,left-hand bat,0.0,6.0,1.219780219780219,28.05,27.09,9.4,17.75,39.28,28.0,16.0,2467.0,26.24,102.0,116.53,230.0,43.0,right-arm offbreak,1.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Himanshu Sharma,right-hand bat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,legbreak,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Siddharth,right-hand bat,0.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,44.0,0.0,0.0,0.0,0.0,legbreak googly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Digvesh Singh,right-hand bat,0.0,9.0,1.1733333333333331,0.0,0.0,24.33,34.74,42.5,28.66,12.0,1831.0,32.69,73.0,143.15,140.0,77.0,"right-arm medium, right-arm offbreak",55.0,51.0,19.23,6.38,3.0,16.0,8.0,0.0,26.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Prashant Solanki,right-hand bat,0.0,0.0,1.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,legbreak,16.0,14.0,32.07,7.99,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhathavedh Subramanyan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finn Allen,right-hand bat,0.0,11.0,1.243697478991596,28.44,29.12,0.0,0.0,5.0,0.0,0.0,3725.0,28.43,135.0,169.31,352.0,219.0,0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dewald Brevis,right-hand bat,0.0,1.0,0.9,33.44,23.5,20.25,22.88,14.75,56.0,14.0,1623.0,24.22,72.0,141.25,113.0,109.0,legbreak,22.0,16.0,22.75,7.35,3.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Duckett,left-hand bat,1.0,10.0,0.9698492462311551,40.72,29.47,31.36,31.23,42.0,19.83,17.0,5120.0,31.03,196.0,140.08,602.0,105.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manish Pandey,right-hand bat,0.0,6.0,1.160142348754448,25.2,36.3,31.26,32.05,36.34,44.66,21.33,7008.0,31.56,282.0,123.81,579.0,222.0,right-arm medium,10.0,10.0,21.2,7.57,1.0,4.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rilee Rossouw,left-hand bat,0.0,25.0,1.008426966292134,24.62,24.98,38.18,23.17,26.05,21.4,0.0,9071.0,29.45,354.0,144.44,872.0,382.0,right-arm offbreak,6.0,0.0,5.64,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sherfane Rutherford,left-hand bat,0.0,8.0,1.262068965517241,0.0,0.0,11.0,34.85,18.32,27.71,12.11,2656.0,23.29,147.0,134.89,179.0,167.0,right-arm fast-medium,22.0,9.0,42.11,9.28,0.0,6.0,1.0,0.0,15.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Turner,right-hand bat,0.0,8.0,1.172774869109947,0.0,0.0,46.2,25.26,27.75,22.87,11.71,3406.0,25.8,184.0,141.03,234.0,132.0,right-arm offbreak,68.0,0.0,7.52,19.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
